Referencia;Sheet;Tipo;Valor
Evolução do Unsecured Funding - Depósitos à vista;InputSite_Highlights;1Q11;-
Evolução do Unsecured Funding - Depósitos interfinanceiros;InputSite_Highlights;1Q11;-
Evolução do Unsecured Funding - Depósitos a prazo;InputSite_Highlights;1Q11;-
Evolução do Unsecured Funding - Títulos Emitidos;InputSite_Highlights;1Q11;-
Evolução do Unsecured Funding - Dívida Subordinada;InputSite_Highlights;1Q11;-
Evolução do Unsecured Funding - Perpétuo;InputSite_Highlights;1Q11;-
Evolução do Unsecured Funding - Empréstimos e repasses;InputSite_Highlights;1Q11;-
Evolução do Unsecured Funding - Total;InputSite_Highlights;1Q11;-
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Receita Total";InputSite_Highlights;2Q11;613,7153
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Despesas Operacionais";InputSite_Highlights;2Q11;-267,0922
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Amortização de ágio";InputSite_Highlights;2Q11;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Salários não recorrentes e despesas administrativas";InputSite_Highlights;2Q11;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Receitas não recorrentes ";InputSite_Highlights;2Q11;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Imposto de renda e contribuição social";InputSite_Highlights;2Q11;-
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Lucro Liquido";InputSite_Highlights;2Q11;237,5177
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Lucro Liquido Ajustado";InputSite_Highlights;2Q11;237,5177
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Lucro Liquido ajustado por unit (R$)";InputSite_Highlights;2Q11;0,2969
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Dividendos";InputSite_Highlights;2Q11;-
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Juros sobre o capital próprio (JCP)";InputSite_Highlights;2Q11;-
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Patrimônio Liquido";InputSite_Highlights;2Q11;5827,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Total Ativos";InputSite_Highlights;2Q11;75151,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - BPAC11 - Total Units (ex treasury ) - in MM ";InputSite_Highlights;2Q11;800,0000
Principais Indicadores - ROAE Anualizado;InputSite_Highlights;2Q11;0,1663
Principais Indicadores - ROAE Anualizado Ajustado;InputSite_Highlights;2Q11;0,1663
Principais Indicadores - ROAA;InputSite_Highlights;2Q11;0,0130
Principais Indicadores - ROAA Ajustado;InputSite_Highlights;2Q11;0,0130
Principais Indicadores - Índice de eficiência;InputSite_Highlights;2Q11;0,4352
Principais Indicadores - Índice de remuneração;InputSite_Highlights;2Q11;0,2209
Principais Indicadores - VP por Unit;InputSite_Highlights;2Q11;7,2838
Principais Indicadores - AuM e AuA (em R$ bilhões);InputSite_Highlights;2Q11;100,6708
Principais Indicadores - WuM (em R$ bilhões);InputSite_Highlights;2Q11;33,5622
Principais Indicadores - Funcionários;InputSite_Highlights;2Q11;1242,0000
Principais Indicadores - Sócios e Associados;InputSite_Highlights;2Q11;138,0000
Principais Indicadores - Índice de Basiléia (aplicável apenas ao Banco BTG Pactual);InputSite_Highlights;2Q11;0,1929
Ativos - Ativos ilíquidos;InputSite_Highlights;2Q11;-
Ativos - Ativos do Banco Pan;InputSite_Highlights;2Q11;-
Ativos - Outros valores e bens;InputSite_Highlights;2Q11;-
Ativos - Carteira de crédito;InputSite_Highlights;2Q11;-
Ativos - Ativos financeiros;InputSite_Highlights;2Q11;-
Ativos - Liquidação pendente;InputSite_Highlights;2Q11;-
Ativos - Ativos vinculados a compromissos de recompra (REPO);InputSite_Highlights;2Q11;-
Ativos - Caixa e equivalentes de caixa;InputSite_Highlights;2Q11;-
Ativos - Total Ativos;InputSite_Highlights;2Q11;-
Passivos - Patrimônio líquido;InputSite_Highlights;2Q11;-
Passivos - Perpetuo;InputSite_Highlights;2Q11;-
Passivos - Banco Pan Passivos;InputSite_Highlights;2Q11;-
Passivos - Outras obrigações;InputSite_Highlights;2Q11;-
Passivos - Financiamento por depósitos, títulos emitidos e empréstimos e repasses;InputSite_Highlights;2Q11;-
Passivos - Depósitos à vista;InputSite_Highlights;2Q11;-
Passivos - Financiamento através de títulos e valores mobiliários;InputSite_Highlights;2Q11;-
Passivos - Liquidação pendente;InputSite_Highlights;2Q11;-
Passivos - Obrigações por operações compromissadas (REPO);InputSite_Highlights;2Q11;-
Passivos - Total Passivos;InputSite_Highlights;2Q11;-
Evolução do Unsecured Funding - Depósitos à vista;InputSite_Highlights;2Q11;-
Evolução do Unsecured Funding - Depósitos interfinanceiros;InputSite_Highlights;2Q11;-
Evolução do Unsecured Funding - Depósitos a prazo;InputSite_Highlights;2Q11;-
Evolução do Unsecured Funding - Títulos Emitidos;InputSite_Highlights;2Q11;-
Evolução do Unsecured Funding - Dívida Subordinada;InputSite_Highlights;2Q11;-
Evolução do Unsecured Funding - Perpétuo;InputSite_Highlights;2Q11;-
Evolução do Unsecured Funding - Empréstimos e repasses;InputSite_Highlights;2Q11;-
Evolução do Unsecured Funding - Total;InputSite_Highlights;2Q11;-
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Receita Total";InputSite_Highlights;3Q11;624,5254
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Despesas Operacionais";InputSite_Highlights;3Q11;-307,7800
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Amortização de ágio";InputSite_Highlights;3Q11;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Salários não recorrentes e despesas administrativas";InputSite_Highlights;3Q11;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Receitas não recorrentes ";InputSite_Highlights;3Q11;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Imposto de renda e contribuição social";InputSite_Highlights;3Q11;-
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Lucro Liquido";InputSite_Highlights;3Q11;154,1907
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Lucro Liquido Ajustado";InputSite_Highlights;3Q11;154,1907
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Lucro Liquido ajustado por unit (R$)";InputSite_Highlights;3Q11;0,1927
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Dividendos";InputSite_Highlights;3Q11;-
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Juros sobre o capital próprio (JCP)";InputSite_Highlights;3Q11;-
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Patrimônio Liquido";InputSite_Highlights;3Q11;5646,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Total Ativos";InputSite_Highlights;3Q11;100640,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - BPAC11 - Total Units (ex treasury ) - in MM ";InputSite_Highlights;3Q11;800,0000
Principais Indicadores - ROAE Anualizado;InputSite_Highlights;3Q11;0,1075
Principais Indicadores - ROAE Anualizado Ajustado;InputSite_Highlights;3Q11;0,1075
Principais Indicadores - ROAA;InputSite_Highlights;3Q11;0,0070
Principais Indicadores - ROAA Ajustado;InputSite_Highlights;3Q11;0,0070
Principais Indicadores - Índice de eficiência;InputSite_Highlights;3Q11;0,4928
Principais Indicadores - Índice de remuneração;InputSite_Highlights;3Q11;0,2612
Principais Indicadores - VP por Unit;InputSite_Highlights;3Q11;7,0575
Principais Indicadores - AuM e AuA (em R$ bilhões);InputSite_Highlights;3Q11;113,1962
Principais Indicadores - WuM (em R$ bilhões);InputSite_Highlights;3Q11;38,6881
Principais Indicadores - Funcionários;InputSite_Highlights;3Q11;1328,0000
Principais Indicadores - Sócios e Associados;InputSite_Highlights;3Q11;136,0000
Principais Indicadores - Índice de Basiléia (aplicável apenas ao Banco BTG Pactual);InputSite_Highlights;3Q11;0,1933
Ativos - Ativos ilíquidos;InputSite_Highlights;3Q11;-
Ativos - Ativos do Banco Pan;InputSite_Highlights;3Q11;-
Ativos - Outros valores e bens;InputSite_Highlights;3Q11;-
Ativos - Carteira de crédito;InputSite_Highlights;3Q11;-
Ativos - Ativos financeiros;InputSite_Highlights;3Q11;-
Ativos - Liquidação pendente;InputSite_Highlights;3Q11;-
Ativos - Ativos vinculados a compromissos de recompra (REPO);InputSite_Highlights;3Q11;-
Ativos - Caixa e equivalentes de caixa;InputSite_Highlights;3Q11;-
Ativos - Total Ativos;InputSite_Highlights;3Q11;-
Passivos - Patrimônio líquido;InputSite_Highlights;3Q11;-
Passivos - Perpetuo;InputSite_Highlights;3Q11;-
Passivos - Banco Pan Passivos;InputSite_Highlights;3Q11;-
Passivos - Outras obrigações;InputSite_Highlights;3Q11;-
Passivos - Financiamento por depósitos, títulos emitidos e empréstimos e repasses;InputSite_Highlights;3Q11;-
Passivos - Depósitos à vista;InputSite_Highlights;3Q11;-
Passivos - Financiamento através de títulos e valores mobiliários;InputSite_Highlights;3Q11;-
Passivos - Liquidação pendente;InputSite_Highlights;3Q11;-
Passivos - Obrigações por operações compromissadas (REPO);InputSite_Highlights;3Q11;-
Passivos - Total Passivos;InputSite_Highlights;3Q11;-
Evolução do Unsecured Funding - Depósitos à vista;InputSite_Highlights;3Q11;0,0000
Evolução do Unsecured Funding - Depósitos interfinanceiros;InputSite_Highlights;3Q11;0,0000
Evolução do Unsecured Funding - Depósitos a prazo;InputSite_Highlights;3Q11;0,0000
Evolução do Unsecured Funding - Títulos Emitidos;InputSite_Highlights;3Q11;0,0000
Evolução do Unsecured Funding - Dívida Subordinada;InputSite_Highlights;3Q11;0,0000
Evolução do Unsecured Funding - Perpétuo;InputSite_Highlights;3Q11;0,0000
Evolução do Unsecured Funding - Empréstimos e repasses;InputSite_Highlights;3Q11;0,0000
Evolução do Unsecured Funding - Total;InputSite_Highlights;3Q11;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Receita Total";InputSite_Highlights;4Q11;782,0916
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Despesas Operacionais";InputSite_Highlights;4Q11;-380,5389
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Amortização de ágio";InputSite_Highlights;4Q11;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Salários não recorrentes e despesas administrativas";InputSite_Highlights;4Q11;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Receitas não recorrentes ";InputSite_Highlights;4Q11;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Imposto de renda e contribuição social";InputSite_Highlights;4Q11;-
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Lucro Liquido";InputSite_Highlights;4Q11;876,9980
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Lucro Liquido Ajustado";InputSite_Highlights;4Q11;876,9980
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Lucro Liquido ajustado por unit (R$)";InputSite_Highlights;4Q11;1,0962
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Dividendos";InputSite_Highlights;4Q11;-
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Juros sobre o capital próprio (JCP)";InputSite_Highlights;4Q11;-
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Patrimônio Liquido";InputSite_Highlights;4Q11;6340,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Total Ativos";InputSite_Highlights;4Q11;82012,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - BPAC11 - Total Units (ex treasury ) - in MM ";InputSite_Highlights;4Q11;800,0000
Principais Indicadores - ROAE Anualizado;InputSite_Highlights;4Q11;0,5853
Principais Indicadores - ROAE Anualizado Ajustado;InputSite_Highlights;4Q11;0,5853
Principais Indicadores - ROAA;InputSite_Highlights;4Q11;0,0384
Principais Indicadores - ROAA Ajustado;InputSite_Highlights;4Q11;0,0384
Principais Indicadores - Índice de eficiência;InputSite_Highlights;4Q11;0,4866
Principais Indicadores - Índice de remuneração;InputSite_Highlights;4Q11;0,3077
Principais Indicadores - VP por Unit;InputSite_Highlights;4Q11;7,9250
Principais Indicadores - AuM e AuA (em R$ bilhões);InputSite_Highlights;4Q11;120,1418
Principais Indicadores - WuM (em R$ bilhões);InputSite_Highlights;4Q11;38,8548
Principais Indicadores - Funcionários;InputSite_Highlights;4Q11;1287,1667
Principais Indicadores - Sócios e Associados;InputSite_Highlights;4Q11;139,1667
Principais Indicadores - Índice de Basiléia (aplicável apenas ao Banco BTG Pactual);InputSite_Highlights;4Q11;0,1860
Ativos - Ativos ilíquidos;InputSite_Highlights;4Q11;-
Ativos - Ativos do Banco Pan;InputSite_Highlights;4Q11;-
Ativos - Outros valores e bens;InputSite_Highlights;4Q11;-
Ativos - Carteira de crédito;InputSite_Highlights;4Q11;-
Ativos - Ativos financeiros;InputSite_Highlights;4Q11;-
Ativos - Liquidação pendente;InputSite_Highlights;4Q11;-
Ativos - Ativos vinculados a compromissos de recompra (REPO);InputSite_Highlights;4Q11;-
Ativos - Caixa e equivalentes de caixa;InputSite_Highlights;4Q11;-
Ativos - Total Ativos;InputSite_Highlights;4Q11;-
Passivos - Patrimônio líquido;InputSite_Highlights;4Q11;-
Passivos - Perpetuo;InputSite_Highlights;4Q11;-
Passivos - Banco Pan Passivos;InputSite_Highlights;4Q11;-
Passivos - Outras obrigações;InputSite_Highlights;4Q11;-
Passivos - Financiamento por depósitos, títulos emitidos e empréstimos e repasses;InputSite_Highlights;4Q11;-
Passivos - Depósitos à vista;InputSite_Highlights;4Q11;-
Passivos - Financiamento através de títulos e valores mobiliários;InputSite_Highlights;4Q11;-
Passivos - Liquidação pendente;InputSite_Highlights;4Q11;-
Passivos - Obrigações por operações compromissadas (REPO);InputSite_Highlights;4Q11;-
Passivos - Total Passivos;InputSite_Highlights;4Q11;-
Evolução do Unsecured Funding - Depósitos à vista;InputSite_Highlights;4Q11;1574,2080
Evolução do Unsecured Funding - Depósitos interfinanceiros;InputSite_Highlights;4Q11;576,4050
Evolução do Unsecured Funding - Depósitos a prazo;InputSite_Highlights;4Q11;12060,4470
Evolução do Unsecured Funding - Títulos Emitidos;InputSite_Highlights;4Q11;3774,6310
Evolução do Unsecured Funding - Dívida Subordinada;InputSite_Highlights;4Q11;4158,2950
Evolução do Unsecured Funding - Perpétuo;InputSite_Highlights;4Q11;0,0000
Evolução do Unsecured Funding - Empréstimos e repasses;InputSite_Highlights;4Q11;919,7160
Evolução do Unsecured Funding - Total;InputSite_Highlights;4Q11;23063,7020
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Receita Total";InputSite_Highlights;2011;2647,0684
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Despesas Operacionais";InputSite_Highlights;2011;-1226,6621
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Amortização de ágio";InputSite_Highlights;2011;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Salários não recorrentes e despesas administrativas";InputSite_Highlights;2011;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Receitas não recorrentes ";InputSite_Highlights;2011;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Imposto de renda e contribuição social";InputSite_Highlights;2011;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Lucro Liquido";InputSite_Highlights;2011;1476,9652
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Lucro Liquido Ajustado";InputSite_Highlights;2011;1476,9652
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Lucro Liquido ajustado por unit (R$)";InputSite_Highlights;2011;1,8462
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Dividendos";InputSite_Highlights;2011;692,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Juros sobre o capital próprio (JCP)";InputSite_Highlights;2011;319,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Patrimônio Liquido";InputSite_Highlights;2011;6340,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Total Ativos";InputSite_Highlights;2011;82012,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - BPAC11 - Total Units (ex treasury ) - in MM ";InputSite_Highlights;2011;800,0000
Principais Indicadores - ROAE Anualizado;InputSite_Highlights;2011;0,2473
Principais Indicadores - ROAE Anualizado Ajustado;InputSite_Highlights;2011;0,2473
Principais Indicadores - ROAA;InputSite_Highlights;2011;0,0191
Principais Indicadores - ROAA Ajustado;InputSite_Highlights;2011;0,2330
Principais Indicadores - Índice de eficiência;InputSite_Highlights;2011;0,4634
Principais Indicadores - Índice de remuneração;InputSite_Highlights;2011;0,2617
Principais Indicadores - VP por Unit;InputSite_Highlights;2011;7,9250
Principais Indicadores - AuM e AuA (em R$ bilhões);InputSite_Highlights;2011;120,1418
Principais Indicadores - WuM (em R$ bilhões);InputSite_Highlights;2011;38,8548
Principais Indicadores - Funcionários;InputSite_Highlights;2011;1287,1667
Principais Indicadores - Sócios e Associados;InputSite_Highlights;2011;139,1667
Principais Indicadores - Índice de Basiléia (aplicável apenas ao Banco BTG Pactual);InputSite_Highlights;2011;0,1860
Ativos - Ativos ilíquidos;InputSite_Highlights;2011;-
Ativos - Ativos do Banco Pan;InputSite_Highlights;2011;-
Ativos - Outros valores e bens;InputSite_Highlights;2011;-
Ativos - Carteira de crédito;InputSite_Highlights;2011;-
Ativos - Ativos financeiros;InputSite_Highlights;2011;-
Ativos - Liquidação pendente;InputSite_Highlights;2011;-
Ativos - Ativos vinculados a compromissos de recompra (REPO);InputSite_Highlights;2011;-
Ativos - Caixa e equivalentes de caixa;InputSite_Highlights;2011;-
Ativos - Total Ativos;InputSite_Highlights;2011;-
Passivos - Patrimônio líquido;InputSite_Highlights;2011;-
Passivos - Perpetuo;InputSite_Highlights;2011;-
Passivos - Banco Pan Passivos;InputSite_Highlights;2011;-
Passivos - Outras obrigações;InputSite_Highlights;2011;-
Passivos - Financiamento por depósitos, títulos emitidos e empréstimos e repasses;InputSite_Highlights;2011;-
Passivos - Depósitos à vista;InputSite_Highlights;2011;-
Passivos - Financiamento através de títulos e valores mobiliários;InputSite_Highlights;2011;-
Passivos - Liquidação pendente;InputSite_Highlights;2011;-
Passivos - Obrigações por operações compromissadas (REPO);InputSite_Highlights;2011;-
Passivos - Total Passivos;InputSite_Highlights;2011;-
Evolução do Unsecured Funding - Depósitos à vista;InputSite_Highlights;2011;1574,2080
Evolução do Unsecured Funding - Depósitos interfinanceiros;InputSite_Highlights;2011;576,4050
Evolução do Unsecured Funding - Depósitos a prazo;InputSite_Highlights;2011;12060,4470
Evolução do Unsecured Funding - Títulos Emitidos;InputSite_Highlights;2011;3774,6310
Evolução do Unsecured Funding - Dívida Subordinada;InputSite_Highlights;2011;4158,2950
Evolução do Unsecured Funding - Perpétuo;InputSite_Highlights;2011;0,0000
Evolução do Unsecured Funding - Empréstimos e repasses;InputSite_Highlights;2011;919,7160
Evolução do Unsecured Funding - Total;InputSite_Highlights;2011;23063,7020
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Receita Total";InputSite_Highlights;1Q12;1239,5109
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Despesas Operacionais";InputSite_Highlights;1Q12;-531,8745
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Amortização de ágio";InputSite_Highlights;1Q12;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Salários não recorrentes e despesas administrativas";InputSite_Highlights;1Q12;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Receitas não recorrentes ";InputSite_Highlights;1Q12;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Imposto de renda e contribuição social";InputSite_Highlights;1Q12;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Lucro Liquido";InputSite_Highlights;1Q12;423,5005
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Lucro Liquido Ajustado";InputSite_Highlights;1Q12;423,5005
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Lucro Liquido ajustado por unit (R$)";InputSite_Highlights;1Q12;0,5294
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Dividendos";InputSite_Highlights;1Q12;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Juros sobre o capital próprio (JCP)";InputSite_Highlights;1Q12;0,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Patrimônio Liquido";InputSite_Highlights;1Q12;6763,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - Total Ativos";InputSite_Highlights;1Q12;96902,0000
"Resumo Financeiro & Indicadores de Desempenho (""KPIs"") - BPAC11 - Total Units (ex treasury ) - in MM ";InputSite_Highlights;1Q12;800,0000
Principais Indicadores - ROAE Anualizado;InputSite_Highlights;1Q12;0,2586
Principais Indicadores - ROAE Anualizado Ajustado;InputSite_Highlights;1Q12;0,2586
Principais Indicadores - ROAA;InputSite_Highlights;1Q12;0,0189
Principais Indicadores - ROAA Ajustado;InputSite_Highlights;1Q12;0,0189
Principais Indicadores - Índice de eficiência;InputSite_Highlights;1Q12;0,4291
Principais Indicadores - Índice de remuneração;InputSite_Highlights;1Q12;0,3253
Principais Indicadores - VP por Unit;InputSite_Highlights;1Q12;8,4537
Principais Indicadores - AuM e AuA (em R$ bilhões);InputSite_Highlights;1Q12;130,3053
Principais Indicadores - WuM (em R$ bilhões);InputSite_Highlights;1Q12;42,0038
Principais Indicadores - Funcionários;InputSite_Highlights;1Q12;1357,0000
Principais Indicadores - Sócios e Associados;InputSite_Highlights;1Q12;165,0000
Principais Indicadores - Índice de Basiléia (aplicável apenas ao Banco BTG Pactual);InputSite_Highlights;1Q12;0,1681
Ativos - Ativos ilíquidos;InputSite_Highlights;1Q12;-
Ativos - Ativos do Banco Pan;InputSite_Highlights;1Q12;-
Ativos - Outros valores e bens;InputSite_Highlights;1Q12;-
Ativos - Carteira de crédito;InputSite_Highlights;1Q12;-
Ativos - Ativos financeiros;InputSite_Highlights;1Q12;-
Ativos - Liquidação pendente;InputSite_Highlights;1Q12;-
Ativos - Ativos vinculados a compromissos de recompra (REPO);InputSite_Highlights;1Q12;-
Ativos - Caixa e equivalentes de caixa;InputSite_Highlights;1Q12;-
Ativos - Total Ativos;InputSite_Highlights;1Q12;-
Passivos - Patrimônio líquido;InputSite_Highlights;1Q12;-
Passivos - Perpetuo;InputSite_Highlights;1Q12;-
Passivos - Banco Pan Passivos;InputSite_Highlights;1Q12;-
Passivos - Outras obrigações;InputSite_Highlights;1Q12;-
Passivos - Financiamento por depósitos, títulos emitidos e empréstimos e repasses;InputSite_Highlights;1Q12;-
Passivos - Depósitos à vista;InputSite_Highlights;1Q12;-
Passivos - Financiamento através de títulos e valores mobiliários;InputSite_Highlights;1Q12;-
Passivos - Liquidação pendente;InputSite_Highlights;1Q12;-
Passivos - Obrigações por operações compromissadas (REPO);InputSite_Highlights;1Q12;-
Passivos - Total Passivos;InputSite_Highlights;1Q12;-
Evolução do Unsecured Funding - Depósitos à vista;InputSite_Highlights;1Q12;1593,5310
Evolução do Unsecured Funding - Depósitos interfinanceiros;InputSite_Highlights;1Q12;938,5220
Evolução do Unsecured Funding - Depósitos a prazo;InputSite_Highlights;1Q12;12600,1330
Evolução do Unsecured Funding - Títulos Emitidos;InputSite_Highlights;1Q12;4302,8810
